ARBSOEK2001FDT_HOVED__3_0, ident.UnitType: PERSON, measure.UnitType: None, measure.format: None
ARBSOEK2001FDT_HOVED__7_0, ident.UnitType: PERSON, measure.UnitType: None, measure.format: None
BARNETRMOTFDT_ANTBARN__1_0, ident.UnitType: PERSON, measure.UnitType: None, measure.format: None
BARNETRMOTFDT_ANTBARN__3_0, ident.UnitType: PERSON, measure.UnitType: None, measure.format: None
BARNETRMOTFDT_ANTBARN__7_0, ident.UnitType: PERSON, measure.UnitType: None, measure.format: None
BARNETRMOTFDT_BELOP__1_0, ident.UnitType: PERSON, measure.UnitType: None, measure.format: None
BARNETRMOTFDT_BELOP__3_0, ident.UnitType: PERSON, measure.UnitType: None, measure.format: None
BARNETRMOTFDT_BELOP__7_0, ident.UnitType: PERSON, measure.UnitType: None, measure.format: None
BARNETRMOTFDT_MOTTAK__1_0, ident.UnitType: PERSON, measure.UnitType: None, measure.format: None
BARNETRMOTFDT_MOTTAK__3_0, ident.UnitType: PERSON, measure.UnitType: None, measure.format: None
BARNETRMOTFDT_MOTTAK__7_0, ident.UnitType: PERSON, measure.UnitType: None, measure.format: None
BARNETRMOTFDT_STATUSK__1_0, ident.UnitType: PERSON, measure.UnitType: None, measure.format: None
BARNETRMOTFDT_STATUSK__3_0, ident.UnitType: PERSON, measure.UnitType: None, measure.format: None
BARNETRMOTFDT_STATUSK__7_0, ident.UnitType: PERSON, measure.UnitType: None, measure.format: None
BARNEVERN_FODTAAR__11_0, ident.UnitType: PERSON, measure.UnitType: None, measure.format: YYYY
BARNEVERN_FODTAAR__4_1, ident.UnitType: PERSON, measure.UnitType: None, measure.format: YYYY
BARNEVERN_FODTAAR__5_0, ident.UnitType: PERSON, measure.UnitType: None, measure.format: YYYY
BARNEVERN_HJELPETIL12__11_0, ident.UnitType: PERSON, measure.UnitType: None, measure.format: None
BARNEVERN_HJELPETIL12__4_1, ident.UnitType: PERSON, measure.UnitType: None, measure.format: None
BARNEVERN_HJELPETIL12__5_0, ident.UnitType: PERSON, measure.UnitType: None, measure.format: None
BARNEVERN_HJELPETIL__11_0, ident.UnitType: PERSON, measure.UnitType: None, measure.format: None
BARNEVERN_HJELPETIL__4_1, ident.UnitType: PERSON, measure.UnitType: None, measure.format: None
BARNEVERN_HJELPETIL__5_0, ident.UnitType: PERSON, measure.UnitType: None, measure.format: None
BARNEVERN_KOMM__11_0, ident.UnitType: PERSON, measure.UnitType: KOMMUNE, measure.format: None
BARNEVERN_KOMM__4_1, ident.UnitType: PERSON, measure.UnitType: KOMMUNE, measure.format: None
BARNEVERN_KOMM__5_0, ident.UnitType: PERSON, measure.UnitType: KOMMUNE, measure.format: None
BARNEVERN_OMSORG12__11_0, ident.UnitType: PERSON, measure.UnitType: None, measure.format: None
BARNEVERN_OMSORG12__4_1, ident.UnitType: PERSON, measure.UnitType: None, measure.format: None
BARNEVERN_OMSORG12__5_0, ident.UnitType: PERSON, measure.UnitType: None, measure.format: None
BARNEVERN_OMSORG__11_0, ident.UnitType: PERSON, measure.UnitType: None, measure.format: None
BARNEVERN_OMSORG__4_1, ident.UnitType: PERSON, measure.UnitType: None, measure.format: None
BARNEVERN_OMSORG__5_0, ident.UnitType: PERSON, measure.UnitType: None, measure.format: None
BEFOLKNING_ANTPERS_I_REGSTAT_FAMNR__10_0, ident.UnitType: PERSON, measure.UnitType: None, measure.format: None
BEFOLKNING_ANTPERS_I_REGSTAT_FAMNR__1_0, ident.UnitType: PERSON, measure.UnitType: None, measure.format: None
BEFOLKNING_ANTPERS_I_REGSTAT_FAMNR__3_0, ident.UnitType: PERSON, measure.UnitType: None, measure.format: None
BEFOLKNING_ANTREGSTAT_FAMNR_I_HUSHNR__10_0, ident.UnitType: PERSON, measure.UnitType: None, measure.format: None
BEFOLKNING_ANTREGSTAT_FAMNR_I_HUSHNR__1_0, ident.UnitType: PERSON, measure.UnitType: None, measure.format: None
BEFOLKNING_ANTREGSTAT_FAMNR_I_HUSHNR__3_0, ident.UnitType: PERSON, measure.UnitType: None, measure.format: None
BEFOLKNING_ANT_SOSKEN__10_0, ident.UnitType: PERSON, measure.UnitType: None, measure.format: None
BEFOLKNING_ANT_SOSKEN__1_0, ident.UnitType: PERSON, measure.UnitType: None, measure.format: None
BEFOLKNING_ANT_SOSKEN__3_0, ident.UnitType: PERSON, measure.UnitType: None, measure.format: None
BEFOLKNING_BARN3_I_FAM__10_0, ident.UnitType: PERSON, measure.UnitType: None, measure.format: None
